,Unnamed: 0,purchases,time_spent,n_visits,customer_group_2,customer_group_3,customer_group_4,customer_group_5,customer_group_6,customer_group_7,customer_group_8,customer_group_9,onboarding_True
335,0.1144153634227372,0.271611825747159,0.95065118450554,0.5156018264738655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
499,0.1712178915809091,0.6080652956254038,0.5074324577372313,0.3749831465264476,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2850,0.9722064662507092,0.832367608877567,0.3891158470529028,0.2343644665790297,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2142,0.7305728871242201,0.6080652956254038,0.1778509334318094,0.4218560398422536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1019,0.3468114415363422,1.0,0.4084400582130181,0.0468728933158059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1655,0.5597601490965076,0.7202164522514855,0.5733299881263161,0.3281102532106417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1542,0.5240256057045621,0.4959141389993221,0.5618694819955405,0.4218560398422536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2263,0.7732760716311483,0.832367608877567,0.3326831140091477,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0121546065958998,0.7202164522514855,0.5393259609449208,0.0468728933158059,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0322502228344542,1.0,0.6676531576661944,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1102,0.369905194068552,0.3837629823732406,0.3223412684836431,0.2343644665790297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1972,0.6740944818086055,0.271611825747159,0.6238222637935023,0.5624747197896716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
259,0.0859735839883315,0.832367608877567,0.5842403617243712,0.1406186799474178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2216,0.7553682845798558,0.271611825747159,0.0175236896866768,0.1406186799474178,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
896,0.3034600113442995,0.7202164522514855,0.5725589329695588,0.2812373598948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1365,0.4600113442994895,0.7202164522514855,0.1512913741754045,0.5156018264738655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
90,0.025848796693947,0.271611825747159,0.7003668194991723,0.3749831465264476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,0.2391216270966696,0.4959141389993221,0.5061488950779767,0.1874915732632238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1990,0.6811441536342274,0.271611825747159,0.136054352437581,0.4687289331580596,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
