mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0006170272827148438,0.0003171142774032415,0.0,0.0,lbfgs,l1,10.0,"{'solver': 'lbfgs', 'penalty': 'l1', 'C': 10}",,,,,,2
0.00032973289489746094,3.0902579776801397e-06,0.0,0.0,liblinear,elasticnet,0.01,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 0.01}",,,,,,2
0.00042096773783365887,0.00010599242592313216,0.0,0.0,liblinear,none,1.0,"{'solver': 'liblinear', 'penalty': 'none', 'C': 1.0}",,,,,,2
0.0003265539805094401,4.112672498364643e-06,0.0,0.0,sag,l1,1.0,"{'solver': 'sag', 'penalty': 'l1', 'C': 1.0}",,,,,,2
0.0003231366475423177,1.4610907483776596e-06,0.0,0.0,liblinear,elasticnet,1.0,"{'solver': 'liblinear', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,2
0.0017731189727783203,0.000307107069531626,0.000705560048421224,0.00020890169446635787,liblinear,l2,10.0,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 10}",0.8209134615384616,0.8016826923076923,0.8137019230769231,0.8120993589743589,0.007932287609464496,1
0.00033243497212727863,5.374857082020733e-06,0.0,0.0,sag,l1,10.0,"{'solver': 'sag', 'penalty': 'l1', 'C': 10}",,,,,,2
0.0003236134847005208,2.614161841614807e-06,0.0,0.0,sag,elasticnet,100.0,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 100}",,,,,,2
0.0003555615743001302,5.618096036502121e-05,0.0,0.0,sag,none,1.0,"{'solver': 'sag', 'penalty': 'none', 'C': 1.0}",,,,,,2
0.0003237724304199219,3.7897806223444505e-06,0.0,0.0,saga,elasticnet,0.1,"{'solver': 'saga', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,2
