mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0009333292643229166,0.0004979317973692395,0.0,0.0,newton-cg,elasticnet,0.01,"{'solver': 'newton-cg', 'penalty': 'elasticnet', 'C': 0.01}",,,,,,3
0.0005892912546793619,0.00017927474233204744,0.0,0.0,liblinear,none,100.0,"{'solver': 'liblinear', 'penalty': 'none', 'C': 100}",,,,,,3
0.004317124684651692,0.0014947434654078383,0.0009615421295166016,0.00016486238181304493,newton-cg,l2,1.0,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 1.0}",0.8185096153846154,0.8004807692307693,0.8137019230769231,0.8108974358974358,0.007622715380785434,2
0.000385284423828125,6.55927022034419e-05,0.0,0.0,lbfgs,none,100.0,"{'solver': 'lbfgs', 'penalty': 'none', 'C': 100}",,,,,,3
0.00033164024353027344,2.2218599078245924e-05,0.0,0.0,sag,none,10.0,"{'solver': 'sag', 'penalty': 'none', 'C': 10}",,,,,,3
0.0007648468017578125,0.00046017001070711736,0.0,0.0,lbfgs,elasticnet,0.1,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 0.1}",,,,,,3
0.004559993743896484,6.56031007224664e-05,0.0007189114888509115,5.083679496753516e-05,liblinear,l1,10.0,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 10}",0.8209134615384616,0.8016826923076923,0.8137019230769231,0.8120993589743589,0.007932287609464496,1
0.00045426686604817707,4.8023575688317517e-05,0.0,0.0,lbfgs,l1,0.1,"{'solver': 'lbfgs', 'penalty': 'l1', 'C': 0.1}",,,,,,3
0.0003570715586344401,2.337339904112786e-05,0.0,0.0,newton-cg,l1,0.1,"{'solver': 'newton-cg', 'penalty': 'l1', 'C': 0.1}",,,,,,3
0.00033164024353027344,1.4122485934717315e-05,0.0,0.0,newton-cg,none,0.1,"{'solver': 'newton-cg', 'penalty': 'none', 'C': 0.1}",,,,,,3
